CODE_DPTO,CODE_MUNICIPIO,DPTO,MUNICIPIO,LONGITUD,LATITUD
5,5480,ANTIOQUIA,MUTATA,-76.4358758959,7.24287193339
5,5483,ANTIOQUIA,NARINO,-75.1762617711,5.61077722195
5,5490,ANTIOQUIA,NECOCLI,-76.784574497,8.426136098
5,5495,ANTIOQUIA,NECHI,-74.7764699611,8.09412977783
5,5501,ANTIOQUIA,OLAYA,-75.8118744168,6.62660499706
5,5541,ANTIOQUIA,PENOL,-75.2428178132,6.21945021233
5,5543,ANTIOQUIA,PEQUE,-75.9103556989,7.02103925848
5,5576,ANTIOQUIA,PUEBLORRICO,-75.8397134748,5.79168858961
5,5579,ANTIOQUIA,PUERTO BERRIO,-74.4099459786,6.48703921007
5,5585,ANTIOQUIA,PUERTO NARE,-74.5830116056,6.18602382303
5,5591,ANTIOQUIA,PUERTO TRIUNFO,-74.6412656382,5.87120719689
5,5604,ANTIOQUIA,REMEDIOS,-74.6980471636,7.02939076621
5,5607,ANTIOQUIA,RETIRO,-75.5013756659,6.06338107129
5,5615,ANTIOQUIA,RIONEGRO,-75.3767667557,6.1472245313
5,5628,ANTIOQUIA,SABANALARGA,-75.8166459364,6.85002081371
5,5631,ANTIOQUIA,SABANETA,-75.6155845416,6.15096981767
5,5642,ANTIOQUIA,SALGAR,-75.982048544,5.965640311
5,5647,ANTIOQUIA,SAN ANDRES DE CUERQUIA,-75.6747339859,6.91680279924
5,5649,ANTIOQUIA,SAN CARLOS,-74.9879605158,6.18798980145
5,5652,ANTIOQUIA,SAN FRANCISCO,-75.1015695493,5.96362010537
5,5656,ANTIOQUIA,SAN JERONIMO,-75.7270000843,6.44806585636
5,5658,ANTIOQUIA,SAN JOSE DE LA MONTANA,-75.6833564182,6.85008880044
5,5659,ANTIOQUIA,SAN JUAN DE URABA,-76.5288010416,8.75934428139
5,5660,ANTIOQUIA,SAN LUIS,-74.9936401255,6.04298332565
5,5664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,-75.5567189241,6.46013808244
5,5665,ANTIOQUIA,SAN PEDRO DE URABA,-76.3805785791,8.27688468914
5,5667,ANTIOQUIA,SAN RAFAEL,-75.0279828807,6.29375698332
5,5670,ANTIOQUIA,SAN ROQUE,-75.0191661484,6.48594047044
5,5679,ANTIOQUIA,SANTA BARBARA,-75.5673548634,5.87554181135
5,5686,ANTIOQUIA,SANTA ROSA DE OSOS,-75.460740037,6.64332643406
5,5690,ANTIOQUIA,SANTO DOMINGO,-75.1649580592,6.47283350377
5,5697,ANTIOQUIA,EL SANTUARIO,-75.2654679804,6.13685720436
5,5736,ANTIOQUIA,SEGOVIA,-74.701588722,7.07963898594
5,5756,ANTIOQUIA,SONSON,-75.3093960124,5.7148075835
5,5761,ANTIOQUIA,SOPETRAN,-75.7472528656,6.50099259435
5,5789,ANTIOQUIA,TAMESIS,-75.7143199749,5.66446916892
5,5790,ANTIOQUIA,TARAZA,-75.4014092118,7.58011943984
5,5792,ANTIOQUIA,TARSO,-75.8229504893,5.86455255901
5,5809,ANTIOQUIA,TITIRIBI,-75.791888749,6.06239757787
5,5819,ANTIOQUIA,TOLEDO,-75.6914357609,7.01015899618
5,5837,ANTIOQUIA,TURBO,-76.7291596582,8.08911317497
5,5842,ANTIOQUIA,URAMITA,-76.1734055678,6.89849767647
5,5847,ANTIOQUIA,URRAO,-76.1339511488,6.31731976564
5,5854,ANTIOQUIA,VALDIVIA,-75.4391982543,7.1653440936
5,5856,ANTIOQUIA,VALPARAISO,-75.6244635468,5.6145548154
5,5858,ANTIOQUIA,VEGACHI,-74.7987268739,6.77345020849
5,5861,ANTIOQUIA,VENECIA,-75.7355000679,5.96473060641
5,5873,ANTIOQUIA,VIGIA DEL FUERTE,-76.8961862476,6.58812341865
5,5885,ANTIOQUIA,YALI,-74.8400531922,6.67657240531
5,5887,ANTIOQUIA,YARUMAL,-75.4188327746,6.96387109143
5,5890,ANTIOQUIA,YOLOMBO,-75.0133479509,6.59459588827
5,5895,ANTIOQUIA,ZARAGOZA,-74.8670728872,7.48858244262
8,8001,ATLANTICO,BARRANQUILLA,-74.8132169683,10.9783195607
8,8078,ATLANTICO,BARANOA,-74.916106093,10.7948815688
8,8137,ATLANTICO,CAMPO DE LA CRUZ,-74.8808535392,10.3782957218
8,8141,ATLANTICO,CANDELARIA,-74.8799120495,10.4612089848
8,8296,ATLANTICO,GALAPA,-74.8703439389,10.9191614915
8,8372,ATLANTICO,JUAN DE ACOSTA,-75.0406070886,10.8323387608
8,8421,ATLANTICO,LURUACO,-75.1422887632,10.6111248118
8,8433,ATLANTICO,MALAMBO,-74.7748637454,10.856822692
8,8436,ATLANTICO,MANATI,-74.9570353895,10.4489620358
8,8520,ATLANTICO,PALMAR DE VARELA,-74.7547589307,10.7385825597
8,8549,ATLANTICO,PIOJO,-75.1074681737,10.7493431731
8,8558,ATLANTICO,POLONUEVO,-74.8531024212,10.7771663073
8,8560,ATLANTICO,PONEDERA,-74.7539006043,10.6417959018
8,8573,ATLANTICO,PUERTO COLOMBIA,-74.851963055,11.022939949
8,8606,ATLANTICO,REPELON,-75.1254822303,10.4933403213
